"title","year","userRating","votes","runtime","mpaaRating","genre","releaseDate","story","director","writer","stars","metacriticScore","awardWins","awardNominations","tagline","country","language","filmingLocations","budget","openingWeekendUS","grossUS","cumulativeWorldwideGross","productionCompany"
"Fawlty Towers","1975","8.7","82,046","30 min","TV-PG","Comedy","TV Series (1975–1979)","Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.","Stars:John Cleese, Prunella Scales, Andrew Sachs            |See full cast & crew »",NA,NA,"","5","2","","UK","English,Spanish","294 Preston Road, Harrow, Middlesex, England, UK","","","","","British Broadcasting Corporation (BBC)"
"Chappelle's Show","2003","8.8","51,120","22 min","TV-MA","Comedy,Music","TV Series (2003–2006)","Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.","Creators:Neal Brennan, Dave Chappelle","Stars:Dave Chappelle, Donnell Rawlings, Rudy Rush","Stars:Dave Chappelle, Donnell Rawlings, Rudy Rush","","7","14","If making fun of people was against the law, he'd be a lifer.","USA","English","Hoboken, New Jersey, USA","","","","","Comedy Central, Marobru Inc., Pilot Boy Productions"
"Stranger Things","2016","8.8","750,736","51 min","TV-14","Drama,Fantasy,Horror","TV Series (2016– )","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Creators:Matt Duffer, Ross Duffer","Stars:Millie Bobby Brown, Finn Wolfhard, Winona Ryder","Stars:Millie Bobby Brown, Finn Wolfhard, Winona Ryder","","69","187","It only gets stranger... (Season 2)","USA","English,Russian","Jackson, Georgia, USA","","","","","21 Laps Entertainment, Monkey Massacre, Netflix"
"Senke nad Balkanom","2017","9.1","8,309","60 min",NA,"Crime,Drama,Thriller","TV Series (2017– )","A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.","Creator:Dragan Bjelogrlic","Stars:Andrija Kuzmanovic, Marija Bergam, Dragan Bjelogrlic","Stars:Andrija Kuzmanovic, Marija Bergam, Dragan Bjelogrlic","",NA,NA,"","Serbia","Serbian,Russian,Macedonian,German,Slovenian","Prespa, Macedonia","","","","","Cobra Film Department, RTS"
"It's Always Sunny in Philadelphia","2005","8.8","183,103","22 min","TV-MA","Comedy","TV Series (2005– )","Five friends with big egos and arrogant attitudes are the proprietors of an Irish pub in Philadelphia.","Creators:Glenn Howerton, Rob McElhenney","Stars:Charlie Day, Glenn Howerton, Rob McElhenney","Stars:Charlie Day, Glenn Howerton, Rob McElhenney","","4","15","Tastes great. Less Fulfilling.","USA","English","Geno's Steaks, 1219 S. 9th St., Philadelphia, Pennsylvania, USA","","","","","Bluebush Productions, 3 Arts Entertainment, FX Productions"
"Kota Factory","2019","9.1","21,038","45 min",NA,"Comedy,Drama","TV Series (2019)","Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.","Creator:Saurabh Khanna","Stars:Mayur More, Jitendra Kumar, Ranjan Raj","Stars:Mayur More, Jitendra Kumar, Ranjan Raj","",NA,NA,"","India","Hindi","","","","","","Contagious Online Media Network, The Viral Fever"
"Arrested Development","2003","8.7","269,110","22 min","TV-14","Comedy","TV Series (2003– )","Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.","Creator:Mitchell Hurwitz","Stars:Jason Bateman, Michael Cera, Portia de Rossi","Stars:Jason Bateman, Michael Cera, Portia de Rossi","","58","113","Free at last. (season 4)","USA","English","Long Beach, California, USA","","","","","Imagine Entertainment, 20th Century Fox Television, The Hurwitz Company"
"Rome","2005","8.7","149,969","52 min","TV-MA","Action,Drama,History","TV Series (2005–2007)","A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.","Creators:Bruno Heller, William J. MacDonald, John Milius","Stars:Kevin McKidd, Ray Stevenson, Polly Walker","Stars:Kevin McKidd, Ray Stevenson, Polly Walker","","19","36","What would You do for Power?","UK,USA","English","Boyana Film Studios, Sofia, Bulgaria","$100,000,000","","","","HD Vision Studios, British Broadcasting Corporation (BBC), Home Box Office (HBO)"
"Mahabharat","1988","8.9","10,936","45 min",NA,"Adventure,Drama,History","TV Series (1988–1990)","A dynastic struggle occurs for the throne of Hastinapur, the kingdom ruled by the Kuru clan, between the Kauravas and Pandavas, collateral branches of the clan, which causes the Kurukshetra War.","Stars:Harish Bhimani, Nitish Bharadwaj, Mukesh Khanna            |See full cast & crew »",NA,NA,"",NA,NA,"","India","Hindi","","","","","","B.R. Films"
"Dragon Ball Z: Doragon bôru zetto","1989","8.7","64,785","24 min","TV-PG","Animation,Action,Adventure","TV Series (1989–1996)","The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.","Stars:Jôji Yanami, Kyle Hebert, Masako Nozawa            |See full cast & crew »",NA,NA,"",NA,NA,"Seven for a wish.","Japan","Japanese","","","","","","Toei Animation, Toei Company"
"Vratice se rode","2007","9.0","5,765","55 min",NA,"Comedy,Crime,Drama","TV Series (2007–2008)","A story of two friends and petty thieves trying to make a living, but failing in every possible way.","Stars:Nikola Djuricko, Dragan Bjelogrlic, Srdjan 'Zika' Todorovic            |See full cast & crew »",NA,NA,"",NA,NA,"","Serbia","Serbian","Baranda, Serbia","","","","","Cobra Film Department, RTV B92"
"The West Wing","1999","8.8","60,001","44 min","TV-14","Drama","TV Series (1999–2006)","Inside the lives of staffers in the West Wing of the White House.","Creator:Aaron Sorkin","Stars:Martin Sheen, Rob Lowe, Allison Janney","Stars:Martin Sheen, Rob Lowe, Allison Janney","","120","253","What is Next ?","USA","English","Los Angeles City Hall - 200 North Spring Street, Downtown, Los Angeles, California, USA","$2,000,000","","","","John Wells Productions, Warner Bros. Television"
"Steins;Gate","2011","8.8","39,494",NA,"TV-14","Animation,Comedy,Drama","TV Series (2011–2015)","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","Stars:Mamoru Miyano, Asami Imai, Kana Hanazawa            |See full cast & crew »",NA,NA,"",NA,NA,"The microwave is a time machine and the girl gets shot. Okarin sends another text. Nukes another banana.","Japan","Japanese,English","","","","","","Frontier Works, Future Gadget Lab"
"Leyla ile Mecnun","2011","9.1","86,486","80 min","TV-PG","Adventure,Comedy,Drama","TV Series (2011–2014)","Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.","Stars:Ali Atay, Ahmet Mümtaz Taylan, Serkan Keskin            |See full cast & crew »",NA,NA,"","2",NA,"Çay Erdal Bakkal'da içilir","Turkey","Turkish","Kirecburnu, Sariyer, Istanbul, Turkey","","","","","Eflatun Film"
"Oz","1997","8.7","86,107","55 min","TV-MA","Crime,Drama,Thriller","TV Series (1997–2003)","A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.","Creator:Tom Fontana","Stars:Ernie Hudson, J.K. Simmons, Lee Tergesen","Stars:Ernie Hudson, J.K. Simmons, Lee Tergesen","","15","53","Life's not a word. It's a sentence.","USA","English","Bayonne, New Jersey, USA","","","","","Rysher Entertainment, The Levinson / Fontana Company"
"Dragon Ball Z","1996","8.7","108,722","24 min","TV-PG","Animation,Action,Adventure","TV Series (1996–2003)","After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.","Stars:Doc Harris, Christopher Sabat, Scott McNeil            |See full cast & crew »",NA,NA,"",NA,NA,"The Saiyans have returned...","Japan,USA,Canada","English","","","","","","Ocean Group, Toei Animation, Toei Company"
"House of Cards","2013","8.7","453,382","51 min","TV-MA","Drama","TV Series (2013–2018)","A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.","Creator:Beau Willimon","Stars:Kevin Spacey, Michel Gill, Robin Wright","Stars:Kevin Spacey, Michel Gill, Robin Wright","","35","214","","USA","English","Baltimore, Maryland, USA","$60,000,000","","","","Media Rights Capital (MRC), Netflix, Panic Pictures (II)"
"Still Game","2002","8.9","5,277","30 min","TV-14","Comedy","TV Series (2002–2019)","Cult Scottish comedy about the lives of two OAP's Jack and Victor and their views on how it used to be in the old days and how bad it is now in the fictional area of Craiglang, Glasgow.","Stars:Ford Kiernan, Greg Hemphill, Paul Riley            |See full cast & crew »",NA,NA,"","6","3","","UK","English","Maryhill, Glasgow, Strathclyde, Scotland, UK","","","","","BBC Scotland, Comedy Unit, F 'n' G Productions"
"Cobra Kai","2018","8.8","40,855","30 min","TV-14","Action,Comedy,Drama","TV Series (2018– )","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Stars:Xolo Maridueña, Ralph Macchio, William Zabka            |See full cast & crew »",NA,NA,"","0","10","","USA","English","Atlanta, Georgia, USA","","","$46,271","$46,271","Hurwitz & Schlossberg Productions, Overbrook Entertainment, Sony Pictures Television"
"Better Call Saul","2015","8.7","298,129","46 min","TV-MA","Crime,Drama","TV Series (2015– )","The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Creators:Vince Gilligan, Peter Gould","Stars:Bob Odenkirk, Rhea Seehorn, Jonathan Banks","Stars:Bob Odenkirk, Rhea Seehorn, Jonathan Banks","","28","150","Make the call","USA","English,Spanish,Vietnamese","Albuquerque, New Mexico, USA","","","","","High Bridge Productions, Crystal Diner Productions, Gran Via Productions"
"I, Claudius","1976","8.7","15,200","650 min","Not Rated","Biography,Drama,History","TV Mini-Series (1976)","The history of the Roman Empire as experienced by one of its rulers.","Stars:Derek Jacobi, John Hurt, Siân Phillips            |See full cast & crew »",NA,NA,"","7","5","Let all the poisons that lurk in the mud hatch out.","UK","English,German","","","","","","British Broadcasting Corporation (BBC), London Film Productions"
"Vinland Saga","2019","8.8","8,186","24 min","TV-MA","Animation,Action,Adventure","TV Series (2019)","Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.","Stars:Naoya Uchida, Hiroki Yasumoto, Yûto Uemura            |See full cast & crew »",NA,NA,"",NA,NA,"","Japan","Japanese","","","","","","Wit Studio"
"Curb Your Enthusiasm","2000","8.7","97,353","28 min","TV-MA","Comedy","TV Series (2000– )","The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.","Creator:Larry David","Stars:Larry David, Cheryl Hines, Jeff Garlin","Stars:Larry David, Cheryl Hines, Jeff Garlin","","21","127","What's wrong with this picture?","USA","English","553 Moreno Avenue, Los Angeles, California, USA","","","","","Home Box Office (HBO), Production Partners"
"The Marvelous Mrs. Maisel","2017","8.7","69,782",NA,"TV-MA","Comedy,Drama","TV Series (2017– )","A housewife in 1958 decides to become a stand-up comic.","Creator:Amy Sherman-Palladino","Stars:Rachel Brosnahan, Alex Borstein, Michael Zegen","Stars:Rachel Brosnahan, Alex Borstein, Michael Zegen","","67","101","","USA","English","Steiner Studios - 15 Washington Avenue, Brooklyn Navy Yard, Brooklyn, New York City, New York, USA","","","","","Amazon Studios, Dorothy Parker Drank Here Productions, Picrow"
"One Strange Rock","2018","8.8","5,965","47 min","TV-PG","Documentary","TV Series (2018– )","The extraordinary story of Earth and why it is special and uniquely brimming with life among a largely unknown but harsh cosmic arena; astronauts tell the story of Earth through a unique perspective.","Stars:Will Smith, Chris Hadfield, Jerry Linenger            |See full cast & crew »",NA,NA,"",NA,"3","","USA","English,Spanish,Indonesian,Chinese,Arabic,Russian,Hindi,Tibetan,Portuguese,French,Thai,Norwegian,Italian,Japanese,Mongolian,Kazakh","","","","","","Protozoa Pictures, Overbrook Entertainment, Nutopia"
"Fleabag","2016","8.7","78,266","27 min","TV-MA","Comedy,Drama","TV Series (2016–2019)","A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.","Creator:Phoebe Waller-Bridge","Stars:Phoebe Waller-Bridge, Sian Clifford, Olivia Colman","Stars:Phoebe Waller-Bridge, Sian Clifford, Olivia Colman","","49","53","","UK","English","London, England, UK","","","","","Two Brothers Pictures"
"The Boys","2019","8.7","150,886","60 min","TV-MA","Action,Comedy,Crime","TV Series (2019– )","A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.","Creators:Eric Kripke, Evan Goldberg, Seth Rogen","Stars:Karl Urban, Jack Quaid, Antony Starr","Stars:Karl Urban, Jack Quaid, Antony Starr","",NA,"5","Never Meet Your Heroes","USA","English","Hamilton, Ontario, Canada","","","","","Amazon Studios, Original Film, Point Grey Pictures"
"BoJack Horseman","2014","8.7","99,546","25 min","TV-MA","Animation,Comedy,Drama","TV Series (2014–2020)","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","Creator:Raphael Bob-Waksberg","Stars:Will Arnett, Amy Sedaris, Alison Brie","Stars:Will Arnett, Amy Sedaris, Alison Brie","","24","28","Don't look back. You're not going that way.","USA","English","","","","","","Tornante Company, ShadowMachine, Moris Talent Hunt"
"Sarabhai vs Sarabhai","2004","8.9","14,105","30 min","TV-PG","Comedy","TV Series (2004–2017)","The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.","Stars:Satish Shah, Ratna Pathak Shah, Sumeet Raghvan            |See full cast & crew »",NA,NA,"","7","9","","India","Hindi,Gujarati,English","","","","","","Hats Off Productions"
"The Adventures of Sherlock Holmes","1984","8.7","19,131","60 min","TV-PG","Crime,Drama,Mystery","TV Series (1984–1985)","Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.","Creator:John Hawkesworth","Stars:Jeremy Brett, David Burke, Rosalie Williams","Stars:Jeremy Brett, David Burke, Rosalie Williams","",NA,NA,"","UK","English","Granada Studios, Manchester, Greater Manchester, England, UK","","","","","Granada Television"
"Justice League Unlimited","2004","8.7","9,218","23 min","TV-Y7-FV","Animation,Action,Adventure","TV Series (2004–2006)","A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.","Creator:Jack Kirby","Stars:George Newbern, Kevin Conroy, Phil LaMarr","Stars:George Newbern, Kevin Conroy, Phil LaMarr","",NA,NA,"","USA","English","","","","","","DC Comics, Warner Bros. Animation"
"The Jinx: The Life and Deaths of Robert Durst","2015","8.7","37,295","279 min","TV-14","Documentary,Crime","TV Mini-Series (2015)","Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.","Stars:Robert Durst, Andrew Jarecki, Gary Napoli            |See full cast & crew »",NA,NA,"","7","5","","USA","English","","","","","","HBO Documentary Films, Hit The Ground Running Films, Blumhouse Productions"
"Westworld","2016","8.7","405,030","62 min","TV-MA","Drama,Mystery,Sci-Fi","TV Series (2016– )","Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","Creators:Lisa Joy, Jonathan Nolan","Stars:Evan Rachel Wood, Jeffrey Wright, Ed Harris","Stars:Evan Rachel Wood, Jeffrey Wright, Ed Harris","","47","155","Chaos takes control. (Season 2)","USA","English","Los Angeles, California, USA","$100,000,000","","","","Bad Robot, Jerry Weintraub Productions, Kilter Films"
"The Thick of It","2005","8.7","19,500","29 min","TV-MA","Comedy","TV Series (2005–2012)","Set in the corridors of power and spin, the Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.","Stars:Chris Addison, James Smith, Peter Capaldi            |See full cast & crew »",NA,NA,"","22","26","","UK","English","St Margaret Street, Westminster, London, England, UK","","","","","British Broadcasting Corporation (BBC)"
"Six Feet Under","2001","8.7","116,975","55 min","TV-MA","Comedy,Drama","TV Series (2001–2005)","A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.","Creator:Alan Ball","Stars:Peter Krause, Michael C. Hall, Frances Conroy","Stars:Peter Krause, Michael C. Hall, Frances Conroy","","58","162","Your whole life is leading up to this...","USA","English","Auguste R. Marquis Residence - 2302 W 25th St, Los Angeles, California, USA","","","","","Home Box Office (HBO), The Greenblatt Janollari Studio, Actual Size Films"
"Yakusoku no Neverland","2019","8.8","11,143","30 min","TV-14","Animation,Fantasy,Horror","TV Series (2019– )","A group of the smartest kids at a seemingly perfect orphanage uncover its dark truth when they break a rule to never leave the orphanage grounds. Once the truth is discovered, they begin to plan an escape to save all of the children.","Stars:Sumire Morohoshi, Maaya Uchida, Mariya Ise            |See full cast & crew »",NA,NA,"",NA,NA,"","Japan","Japanese","","","","","","Aniplex, CloverWorks, Fuji Television Network"
"South Park","1997","8.7","321,222","22 min","TV-MA","Animation,Comedy","TV Series (1997– )","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","Creators:Trey Parker, Matt Stone, Brian Graden","Stars:Trey Parker, Matt Stone, Isaac Hayes","Stars:Trey Parker, Matt Stone, Isaac Hayes","","17","84","Four boys. One f**ked up town.","USA","English","","","","","","Comedy Central, Braniff, Comedy Partners"
"Demon Slayer: Kimetsu No Yaiba","2019","8.8","14,206","25 min","TV-MA","Animation,Action,Fantasy","TV Series (2019– )","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","Stars:Natsuki Hanae, Zach Aguilar, Abby Trott            |See full cast & crew »",NA,NA,"",NA,"0","","Japan","Japanese","","","","","","Aniplex, Shueisha, Ufotable"
"The Simpsons","1989","8.7","353,909","22 min","TV-PG","Animation,Comedy","TV Series (1989– )","The satiric adventures of a working-class family in the misfit city of Springfield.","Creators:James L. Brooks, Matt Groening, Sam Simon","Stars:Dan Castellaneta, Nancy Cartwright, Harry Shearer","Stars:Dan Castellaneta, Nancy Cartwright, Harry Shearer","","177","319","Putting the Fun back in Dysfunctional!","USA","Chinese,English,Spanish,Albanian,French,Japanese,German,Russian,Hindi,Swahili,Italian,Swedish,Turkish,Cantonese,Mandarin,Hebrew,Arabic,Klingon,Bengali,Czech","","$750,000","","","","Gracie Films, 20th Century Fox Television, Twentieth Century Fox"
"The Return of Sherlock Holmes","1986","8.7","10,042","60 min","TV-PG","Crime,Drama,Mystery","TV Series (1986–1988)","Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.","Creator:John Hawkesworth","Stars:Jeremy Brett, Edward Hardwicke, Rosalie Williams","Stars:Jeremy Brett, Edward Hardwicke, Rosalie Williams","",NA,NA,"","UK","English","Granada Studios, Manchester, Greater Manchester, England, UK","","","","","Granada Television"
"House M.D.","2004","8.7","400,518","44 min","TV-14","Drama,Mystery","TV Series (2004–2012)","An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.","Creator:David Shore","Stars:Hugh Laurie, Omar Epps, Robert Sean Leonard","Stars:Hugh Laurie, Omar Epps, Robert Sean Leonard","","57","138","As Addictive as Vicodin (South Africa - Season 2 Tagline (2006))","USA","English","Princeton University's Frist Campus Center","","","","","Heel & Toe Films, Shore Z Productions, Bad Hat Harry Productions"
"The Mandalorian","2019","8.7","177,390","40 min","TV-14","Action,Adventure,Sci-Fi","TV Series (2019– )","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Creator:Jon Favreau","Stars:Pedro Pascal, Carl Weathers, Rio Hackford","Stars:Pedro Pascal, Carl Weathers, Rio Hackford","","7","9","","USA","English","Los Angeles, California, USA","$100,000,000","","","","Fairview Entertainment, Golem Creations, Lucasfilm"
"Battlestar Galactica","2004","8.7","148,424","44 min","TV-14","Action,Adventure,Drama","TV Series (2004–2009)","When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.","Creators:Glen A. Larson, Ronald D. Moore","Stars:Edward James Olmos, Mary McDonnell, Jamie Bamber","Stars:Edward James Olmos, Mary McDonnell, Jamie Bamber","","41","91","The fight to save humanity rages on.","USA,Canada","English","Simon Fraser University, Burnaby, British Columbia, Canada","","","","","British Sky Broadcasting (BSkyB), David Eick Productions, NBC Universal Television"
"One Piece: Wan pîsu","1999","8.7","61,333","24 min","TV-14","Animation,Action,Adventure","TV Series (1999– )","Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Creator:Eiichiro Oda","Stars:Mayumi Tanaka, Tony Beck, Laurent Vernin","Stars:Mayumi Tanaka, Tony Beck, Laurent Vernin","","3","9","Will Luffy save his legs?","Japan","Japanese","","JPY10,000,000","","","","Toei Animation"
"The Crown","2016","8.7","114,334","58 min","TV-MA","Drama,History","TV Series (2016– )","Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.","Creator:Peter Morgan","Stars:Claire Foy, Matt Smith, Olivia Colman","Stars:Claire Foy, Matt Smith, Olivia Colman","","57","137","","UK,USA","English","South Africa","$156,000,000","","","","Left Bank Pictures, Sony Pictures Television Production UK"
"Content Cop","2015","9.0","11,581","20 min","TV-MA","Documentary,Comedy,Crime","TV Series (2015– )","In an effort to bring justice to the YouTube community, former police officer Ian Carter takes on the title of ""Content Cop"". Using his old police uniform and raw wit, Ian sets out to stop the creators that bring nothing but discord to his online city.","Stars:Ian Carter, Calvin Vail, Bryan Le            |See full cast & crew »",NA,NA,"",NA,NA,"","","English","","","","","",""
"Top Gear","2002","8.7","106,084","60 min","TV-PG","Adventure,Comedy,Reality-TV","TV Series (2002– )","The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.","Stars:Jeremy Clarkson, Richard Hammond, James May            |See full cast & crew »",NA,NA,"","12","19","Bring on the Bangers and Mash!","UK","English","Dunsfold Park Aerodrome, Dunsfold Park, Dunsfold, Surrey, England, UK","","","","","British Broadcasting Corporation (BBC)"
"Critical Role","2015","9.3","6,898","180 min","TV-14","Adventure,Fantasy","TV Series (2015– )","A live weekly show, where a band of professional voice actors improvise, role-play and roll their way through an epic Dungeons & Dragons campaign.","Stars:Liam O'Brien, Matthew Mercer, Taliesin Jaffe            |See full cast & crew »",NA,NA,"","4","3","How do you want to do this?","USA","English","","$690","","","","Critical Role Productions, Geek & Sundry, Legendary Digital Networks"
"The Shield","2002","8.7","69,568","47 min","TV-MA","Crime,Drama,Thriller","TV Series (2002–2008)","Follows the lives and cases of a dirty Los Angeles Police Department cop and the unit under his command.","Creator:Shawn Ryan","Stars:Michael Chiklis, Catherine Dent, Walton Goggins","Stars:Michael Chiklis, Catherine Dent, Walton Goggins","","15","59","Back with a vengeance (Season 2)","USA","English","ABC Television Center - 4151 Prospect Avenue, Los Angeles, California, USA","$1,200,000","","","","Fox Television Network, Sony Pictures Television, The Barn Productions"
"Aranyélet","2015","8.8","6,747","60 min",NA,"Action,Drama,Thriller","TV Series (2015–2018)","A corrupt businessman and family man attempts to navigate his way through increasing domestic, legal, and financial problems.","Creators:Roope Lehtinen, Mikko Pöllä, Gábor Krigler","Stars:Szabolcs Thuróczy, Eszter Ónodi, Renátó Olasz","Stars:Szabolcs Thuróczy, Eszter Ónodi, Renátó Olasz","","0",NA,"","Hungary","Hungarian","Budapest, Hungary","","","","",""
"The Grand Tour","2016","8.7","60,458","60 min","TV-14","Comedy,Talk-Show","TV Series (2016– )","Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.","Stars:Jeremy Clarkson, James May, Richard Hammond            |See full cast & crew »",NA,NA,"","0","2","","UK,USA","English","","","","","","W. Chump & sons, Amazon Studios, Television Interactive Network Agency"
"This Is Us","2016","8.7","94,419","45 min","TV-14","Comedy,Drama,Romance","TV Series (2016– )","A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.","Creator:Dan Fogelman","Stars:Milo Ventimiglia, Mandy Moore, Sterling K. Brown","Stars:Milo Ventimiglia, Mandy Moore, Sterling K. Brown","","46","174","If you think you know what's coming next...you don't know us (season 6)","USA","English","Los Angeles, California, USA","","","","","Rhode Island Ave. Productions, Zaftig Films, 20th Century Fox Television"
"The Haunting of Hill House","2018","8.7","149,184","50 min","TV-MA","Drama,Horror,Mystery","TV Series (2018– )","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","Creator:Mike Flanagan","Stars:Henry Thomas, Oliver Jackson-Cohen, Kate Siegel","Stars:Henry Thomas, Oliver Jackson-Cohen, Kate Siegel","","10","32","You're Expected","USA","English","LaGrange, Georgia, USA","","","","","FlanaganFilm, Amblin Television, Paramount Television"
"Downton Abbey","2010","8.7","155,524","58 min","TV-PG","Drama,Romance","TV Series (2010–2015)","A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.","Creator:Julian Fellowes","Stars:Hugh Bonneville, Phyllis Logan, Elizabeth McGovern","Stars:Hugh Bonneville, Phyllis Logan, Elizabeth McGovern","","57","224","War changes everything","UK","English","The Charterhouse, Charterhouse Square, London, England, UK","","","","","Carnival Film & Television, Masterpiece Theatre"
"Lonesome Dove","1989","8.7","19,763","384 min","TV-14","Adventure,Drama,Western","TV Mini-Series (1989)","Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.","Stars:Robert Duvall, Tommy Lee Jones, Danny Glover            |See full cast & crew »",NA,NA,"","18","17","","USA","English","Bastrop State Park, Texas, USA","","","","","Motown Productions, Pangaea, Qintex Entertainment"
"Deadwood","2004","8.6","91,236","55 min","TV-MA","Crime,Drama,History","TV Series (2004–2006)","A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.","Creator:David Milch","Stars:Timothy Olyphant, Ian McShane, Molly Parker","Stars:Timothy Olyphant, Ian McShane, Molly Parker","","28","83","Fortune comes with a price.","USA","English,Irish","Frazier Park, California, USA","","","","","CBS Paramount Network Television, Home Box Office (HBO), Paramount Network Television"
"Kenpû Denki Berserk","1997","8.6","26,792","23 min","TV-14","Animation,Action,Adventure","TV Series (1997–1998)","Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.","Creator:Kentaro Miura","Stars:Nobutoshi Canna, Marc Diraison, Carrie Keranen","Stars:Nobutoshi Canna, Marc Diraison, Carrie Keranen","",NA,NA,"Is the destiny of mankind controlled by some transcendental entity or Law? Is it like the hand of God hovering above? At least it is true, that man has no control, even over his own will","Japan","English,Japanese","","","","","","OLM-Animation Studio, Video Audio Project (VAP)"
"Bron/Broen","2011","8.6","54,935","60 min","TV-MA","Crime,Mystery,Thriller","TV Series (2011–2018)","When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.","Stars:Sofia Helin, Rafael Pettersson, Sarah Boberg            |See full cast & crew »",NA,NA,"","9","21","","Sweden,Denmark,Germany","Swedish,Danish","Copenhagen, Denmark","SEK100,000,000","","","","Filmlance International AB, Nimbus Film Productions, Sveriges Television (SVT)"
