"title","year","userRating","votes","runtime","mpaaRating","genre","releaseDate","story","director","writer","stars","metacriticScore","awardWins","awardNominations","tagline","country","language","filmingLocations","budget","openingWeekendUS","grossUS","cumulativeWorldwideGross","productionCompany"
"Twin Peaks","2017","8.5","52,214","60 min","TV-MA","Crime,Drama,Fantasy","TV Series (2017)","Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.","Creators:Mark Frost, David Lynch","Stars:Kyle MacLachlan, Sheryl Lee, Michael Horse","Stars:Kyle MacLachlan, Sheryl Lee, Michael Horse","","16","39","A place both wonderful & strange.","USA","English,French","Los Angeles, California, USA","","","","","Showtime Networks, Rancho Rosa Partnership, Twin Peaks Productions"
"Mystery Science Theater 3000","1988","8.5","22,628","92 min","TV-14","Comedy,Sci-Fi","TV Series (1988–2015)","In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.","Creator:Joel Hodgson","Stars:Joel Hodgson, Michael J. Nelson, Trace Beaulieu","Stars:Joel Hodgson, Michael J. Nelson, Trace Beaulieu","","4","15","Making unwatchable movies essential viewing.","USA","English","Minneapolis, Minnesota, USA","","","","","Best Brains, Comedy Central, Home Box Office (HBO)"
"Mr. Bean","1990","8.5","97,564","350 min","TV-G","Comedy,Family","TV Series (1990–1995)","Bumbling, childlike Mr. Bean has trouble completing the simplest of tasks in day-to-day life, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.","Creators:Rowan Atkinson, Richard Curtis","Stars:Rowan Atkinson, Robin Driscoll, Matilda Ziegler","Stars:Rowan Atkinson, Robin Driscoll, Matilda Ziegler","","4","8","The gadgets, the girls, the moves, his teddy. (series)","UK","English","England, UK","","","","","Tiger Aspect Productions, Thames Television, Central Television"
"Chef's Table","2015","8.6","12,498","50 min","TV-MA","Documentary","TV Series (2015– )","Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.","Stars:Dan Barber, Massimo Bottura, Bill Buford            |See full cast & crew »",NA,NA,"",NA,"14","","USA","English","","","","","","Boardwalk Pictures, City Room Creative, FINCH"
"Coupling","2000","8.5","41,990","30 min","TV-14","Comedy,Romance","TV Series (2000–2004)","Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.","Stars:Jack Davenport, Gina Bellman, Sarah Alexander            |See full cast & crew »",NA,NA,"","2","2","More than just a one night stand!","UK","English","Chiswick, London, England, UK","","","","","Hartswood Films"
"The Defiant Ones","2017","8.5","10,750","60 min",NA,"Documentary,Biography,Crime","TV Mini-Series (2017)","""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.","Stars:Bono, Dr. Dre, Jimmy Iovine            |See full cast & crew »",NA,NA,"","7","13","","USA","English","","","","","",""
"Generation Kill","2008","8.5","46,224","70 min","TV-MA","Drama,War","TV Mini-Series (2008)","A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.","Stars:Alexander Skarsgård, James Ransone, Lee Tergesen            |See full cast & crew »",NA,NA,"","13","19","","USA,UK","English","Africa","","","","","Boom, Blown Deadline Productions, Company Pictures"
"GTO","1999","8.6","5,594","24 min","TV-MA","Animation,Comedy,Drama","TV Series (1999–2000)","About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever.","Stars:Steve Blum, Tom Fahn, Jun'ichi Suwabe            |See full cast & crew »",NA,NA,"",NA,NA,"","Japan","Japanese,English,French,Italian,Tagalog","","","","","","Pierrot"
"The IT Crowd","2006","8.5","127,996","25 min","TV-14","Comedy","TV Series (2006–2013)","The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.","Stars:Chris O'Dowd, Richard Ayoade, Katherine Parkinson            |See full cast & crew »",NA,NA,"","8","18","","UK","English","Thomas More Square, main building, Wapping, London, England, UK","","","","","Talkback Thames, Channel 4 Television Corporation"
"Louie","2010","8.5","73,188","22 min","TV-MA","Comedy,Drama","TV Series (2010–2015)","The life of Louie C.K., a divorced comedian living in New York with two kids.","Creator:Louis C.K.","Stars:Louis C.K., Hadley Delany, Ursula Parker","Stars:Louis C.K., Hadley Delany, Ursula Parker","","20","85","Misery loves comedy. (season 3)","USA","English","Greenpoint, Williamsburg, Brooklyn, New York City, New York, USA","","","","","3 Arts Entertainment, Bluebush Productions, FX Productions"
